uid,name,status,location,startdate,enddate,source,twitterhandle
0,Larry,Active,10 Downing Street,2011-02-11,,https://en.wikipedia.org/wiki/Larry_(cat),@Number10cat
1,Freya,Inactive,11 Downing Street,2012-09-16,2014-11-09,https://en.wikipedia.org/wiki/Freya_(cat),
2,Palmerston,Active,Foreign and Commonwealth Office,2016-04-13,,https://en.wikipedia.org/wiki/Palmerston_(cat),@diplomog
3,Gladstone,Active,HM Treasury,2016-06-01,,https://en.wikipedia.org/wiki/Gladstone_(cat),@HMTreasuryCat
4,Cromwell,Inactive,Cabinet Office,,,http://www.telegraph.co.uk/news/2016/08/03/cabinet-office-set-to-appoint-cat-called-cromwell-as-chief-mouse/,
5,Humphrey,Deceased,10 Downing Street,1988,2006-03,https://en.wikipedia.org/wiki/Humphrey_(cat),
6,Wilberforce,Deceased,10 Downing Street,1973,1986,https://en.wikipedia.org/wiki/Wilberforce_(cat),
7,Peter,Deceased,Home Office,1929,1946,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
8,Peter II,Deceased,Home Office,1946,1946,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
9,Peter III,Deceased,Home Office,1946,1964,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
10,Peta,Inactive,Home Office,1964,,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
11,Sybil,Deceased,11 Downing Street,2006,2009-07-27,https://en.wikipedia.org/wiki/Sybil_(cat),
12,Treasury Bill,Inactive,10 Downing Street,1924,1924,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
13,Munich Mouser,Inactive,10 Downing Street,1937,1943,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
14,Nelson,Inactive,10 Downing Street,,,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
15,Jumbo,Inactive,Cabinet War Rooms,,,http://www.purr-n-fur.org.uk/famous/humphrey.html,
16,Frilly,Deceased,British War Office,1909,,http://www.purr-n-fur.org.uk/famous/humphrey.html,
17,Smokey,Inactive,HM Treasury,,,http://www.purr-n-fur.org.uk/famous/humphrey.html,
18,Emily,Inactive,Home Office,,,http://www.purr-n-fur.org.uk/famous/humphrey.html,
19,Nemo,Inactive,10 Downing Street,1964,,http://www.purr-n-fur.org.uk/famous/humphrey.html,
20,Jilkie,Unknown,UK Embassy Qatar,2015-07-01,,https://www.instagram.com/p/4lyzjyNQdY/,
21,Molly,Unknown,UK Ambassador's Residence Bulgaria,2014-02-26,,http://blogs.fco.gov.uk/britishembassysofia/2014/02/26/living-in-the-british-ambassadors-residence-in-sofia/,
22,Evie,Active,Cabinet Office,2016-12-06,,https://twitter.com/cabinetofficeuk/status/807195882823319552,
23,Ossie,Active,Cabinet Office,2016-12-06,,https://twitter.com/cabinetofficeuk/status/807195882823319552,
